ParkName,DeerNum,Years
Arkansas Post National Memorial,1012,2006-2010
Pea Ridge National Military Park,1263,2006-2010
Wilson's Creek National Battlefield,1368,2006-2010
Arkansas Post National Memorial,1423,2011-2015
Pea Ridge National Military Park,2813,2011-2015
Wilson's Creek National Battlefield,4138,2011-2015
Arkansas Post National Memorial,1226,2016-2020
Pea Ridge National Military Park,2346,2016-2020
Wilson's Creek National Battlefield,4667,2016-2020
