county,total_pop,years
"Arkansas County, Arkansas",19321,2006-2010
"Benton County, Arkansas",209911,2006-2010
"Christian/Greene Counties, Missouri",344346,2006-2010
"Arkansas County, Arkansas",18731,2011-2015
"Benton County, Arkansas",238198,2011-2015
"Christian/Greene Counties, Missouri",364110,2011-2015
"Arkansas County, Arkansas",17761,2016-2020
"Benton County, Arkansas",273510,2016-2020
"Christian/Greene Counties, Missouri",378898,2016-2020
